Date,Category,Amount,Payment Method,Month,Month Name,Day,Weekday
2021-01-01,Food,395.87,CARD,1,January,1,Friday
2021-01-01,Food,707.8,CARD,1,January,1,Friday
2021-01-01,Food,331.88,CARD,1,January,1,Friday
2021-01-01,Food,747.98,CARD,1,January,1,Friday
2021-01-01,Food,584.24,UPI,1,January,1,Friday
2021-01-01,Food,195.03,CASH,1,January,1,Friday
2021-01-01,Food,1007.32,UPI,1,January,1,Friday
2021-01-01,Food,581.04,CARD,1,January,1,Friday
2021-01-01,Food,864.37,UPI,1,January,1,Friday
2021-01-01,Food,370.84,CASH,1,January,1,Friday
2021-01-01,Food,818.13,CASH,1,January,1,Friday
2021-01-01,Food,416.76,UPI,1,January,1,Friday
2021-02-01,Food,122.79,CASH,2,February,1,Monday
2021-02-01,Food,412.93,CARD,2,February,1,Monday
2021-02-01,Food,237.25,UPI,2,February,1,Monday
2021-02-01,Food,234.97,CASH,2,February,1,Monday
2021-02-01,Food,199.95,CARD,2,February,1,Monday
2021-02-01,Food,189.58,CASH,2,February,1,Monday
2021-02-01,Food,519.48,CASH,2,February,1,Monday
2021-02-01,Food,577.69,CARD,2,February,1,Monday
2021-02-01,Food,563.58,CASH,2,February,1,Monday
2021-02-01,Food,443.05,CASH,2,February,1,Monday
2021-02-01,Food,626.22,CASH,2,February,1,Monday
2021-02-01,Food,500.56,CARD,2,February,1,Monday
2021-02-01,Food,554.86,CASH,2,February,1,Monday
2021-02-01,Food,551.69,UPI,2,February,1,Monday
2021-02-01,Food,823.69,CARD,2,February,1,Monday
2021-02-01,Food,674.22,CASH,2,February,1,Monday
2021-02-01,Food,436.09,UPI,2,February,1,Monday
2021-02-01,Food,132.23,CASH,2,February,1,Monday
2021-02-01,Food,182.18,CASH,2,February,1,Monday
2021-02-01,Food,163.57,CASH,2,February,1,Monday
2021-02-01,Food,296.03,CASH,2,February,1,Monday
2021-02-01,Food,188.12,CASH,2,February,1,Monday
2021-02-01,Food,1194.48,CASH,2,February,1,Monday
2021-02-01,Food,371.21,CASH,2,February,1,Monday
2021-02-01,Food,152.17,CASH,2,February,1,Monday
2021-02-01,Food,293.16,CASH,2,February,1,Monday
2021-02-01,Food,444.79,CASH,2,February,1,Monday
2021-02-01,Food,114.74,UPI,2,February,1,Monday
2021-02-01,Food,176.48,UPI,2,February,1,Monday
2021-02-01,Food,341.65,CARD,2,February,1,Monday
2021-02-01,Food,301.24,UPI,2,February,1,Monday
2021-02-01,Food,566.92,CASH,2,February,1,Monday
2021-02-01,Food,657.95,CARD,2,February,1,Monday
2021-02-01,Food,501.62,CARD,2,February,1,Monday
2021-02-01,Food,142.03,CASH,2,February,1,Monday
2021-02-01,Food,743.26,CASH,2,February,1,Monday
2021-02-01,Food,440.19,CASH,2,February,1,Monday
2021-02-01,Food,373.97,UPI,2,February,1,Monday
2021-02-01,Food,447.68,CARD,2,February,1,Monday
2021-02-01,Food,349.44,CASH,2,February,1,Monday
2021-02-01,Food,343.41,UPI,2,February,1,Monday
2021-02-01,Food,144.43,CARD,2,February,1,Monday
2021-02-01,Food,209.73,CASH,2,February,1,Monday
2021-02-01,Food,349.27,CARD,2,February,1,Monday
2021-02-01,Food,581.16,CASH,2,February,1,Monday
2021-02-01,Food,619.62,CASH,2,February,1,Monday
2021-02-01,Food,525.2,UPI,2,February,1,Monday
2021-02-01,Food,526.03,CARD,2,February,1,Monday
2021-02-01,Food,659.35,CASH,2,February,1,Monday
2021-02-01,Food,671.61,CASH,2,February,1,Monday
2021-02-01,Food,436.93,CASH,2,February,1,Monday
2021-02-01,Food,647.25,UPI,2,February,1,Monday
2021-02-01,Food,138.02,UPI,2,February,1,Monday
2021-02-01,Food,654.2,CARD,2,February,1,Monday
2021-02-01,Food,582.62,UPI,2,February,1,Monday
2021-02-01,Food,126.41,CASH,2,February,1,Monday
2021-02-01,Food,254.63,CASH,2,February,1,Monday
2021-02-01,Food,307.87,CASH,2,February,1,Monday
2021-02-01,Food,895.64,CASH,2,February,1,Monday
2021-02-01,Food,941.29,CARD,2,February,1,Monday
2021-02-01,Food,703.19,CARD,2,February,1,Monday
2021-02-01,Food,640.81,CARD,2,February,1,Monday
2021-02-01,Food,618.7,UPI,2,February,1,Monday
2021-02-01,Food,549.65,CASH,2,February,1,Monday
2021-02-01,Food,416.09,UPI,2,February,1,Monday
2021-02-01,Food,700.85,CARD,2,February,1,Monday
2021-02-01,Food,307.34,CASH,2,February,1,Monday
2021-02-01,Food,474.34,UPI,2,February,1,Monday
2021-02-01,Food,635.83,UPI,2,February,1,Monday
2021-03-01,Food,486.16,UPI,3,March,1,Monday
2021-03-01,Food,316.54,CASH,3,March,1,Monday
2021-03-01,Food,613.68,CASH,3,March,1,Monday
2021-03-01,Food,438.97,CARD,3,March,1,Monday
2021-03-01,Food,330.67,CASH,3,March,1,Monday
2021-03-01,Food,247.57,CARD,3,March,1,Monday
2021-03-01,Food,345.53,CASH,3,March,1,Monday
2021-03-01,Food,1084.05,CASH,3,March,1,Monday
2021-03-01,Food,984.58,UPI,3,March,1,Monday
2021-03-01,Food,1218.89,CARD,3,March,1,Monday
2021-03-01,Food,532.89,CARD,3,March,1,Monday
2021-03-01,Food,394.6,CASH,3,March,1,Monday
2021-03-01,Food,253.31,CARD,3,March,1,Monday
2021-03-01,Food,417.38,CASH,3,March,1,Monday
2021-03-01,Food,601.85,CASH,3,March,1,Monday
2021-03-01,Food,358.59,CARD,3,March,1,Monday
2021-03-01,Food,649.63,UPI,3,March,1,Monday
2021-03-01,Food,286.7,CARD,3,March,1,Monday
2021-03-01,Food,829.52,CASH,3,March,1,Monday
2021-03-01,Food,551.0,CARD,3,March,1,Monday
2021-03-01,Food,426.11,UPI,3,March,1,Monday
2021-03-01,Food,295.31,CARD,3,March,1,Monday
2021-03-01,Food,642.23,UPI,3,March,1,Monday
2021-03-01,Food,1156.64,CARD,3,March,1,Monday
2021-03-01,Food,703.47,CASH,3,March,1,Monday
2021-03-01,Food,649.8,UPI,3,March,1,Monday
2021-03-01,Food,621.55,CARD,3,March,1,Monday
2021-03-01,Food,303.38,CASH,3,March,1,Monday
2021-03-01,Food,557.18,CARD,3,March,1,Monday
2021-03-01,Food,462.09,UPI,3,March,1,Monday
2021-03-01,Food,226.94,UPI,3,March,1,Monday
2021-03-01,Food,404.76,UPI,3,March,1,Monday
2021-03-01,Food,517.42,UPI,3,March,1,Monday
2021-03-01,Food,157.52,UPI,3,March,1,Monday
2021-03-01,Food,411.49,CARD,3,March,1,Monday
2021-03-01,Food,171.64,UPI,3,March,1,Monday
2021-03-01,Food,534.96,UPI,3,March,1,Monday
2021-03-01,Food,166.1,UPI,3,March,1,Monday
2021-03-01,Food,333.45,CARD,3,March,1,Monday
2021-03-01,Food,541.6,CASH,3,March,1,Monday
2021-03-01,Food,307.34,CARD,3,March,1,Monday
2021-03-01,Food,172.52,UPI,3,March,1,Monday
2021-03-01,Food,136.11,CASH,3,March,1,Monday
2021-03-01,Food,334.73,CARD,3,March,1,Monday
2021-03-01,Food,263.82,CARD,3,March,1,Monday
2021-03-01,Food,881.86,UPI,3,March,1,Monday
2021-03-01,Food,635.86,CARD,3,March,1,Monday
2021-03-01,Food,238.3,CASH,3,March,1,Monday
2021-03-01,Food,722.95,CARD,3,March,1,Monday
2021-03-01,Food,291.99,CASH,3,March,1,Monday
2021-03-01,Food,1088.2,CARD,3,March,1,Monday
2021-03-01,Food,259.29,UPI,3,March,1,Monday
2021-03-01,Food,135.02,CASH,3,March,1,Monday
2021-03-01,Food,652.18,CARD,3,March,1,Monday
2021-03-01,Food,640.76,CARD,3,March,1,Monday
2021-03-01,Food,645.66,UPI,3,March,1,Monday
2021-03-01,Food,830.14,UPI,3,March,1,Monday
2021-03-01,Food,490.12,CARD,3,March,1,Monday
2021-03-01,Food,921.54,CARD,3,March,1,Monday
2021-03-01,Food,221.48,CARD,3,March,1,Monday
2021-03-01,Food,457.64,CARD,3,March,1,Monday
2021-03-01,Food,648.94,CARD,3,March,1,Monday
2021-03-01,Food,278.41,CARD,3,March,1,Monday
2021-03-01,Food,624.41,UPI,3,March,1,Monday
2021-03-01,Food,131.61,UPI,3,March,1,Monday
2021-03-01,Food,322.92,CASH,3,March,1,Monday
2021-03-01,Food,400.81,CARD,3,March,1,Monday
2021-03-01,Food,691.58,UPI,3,March,1,Monday
2021-03-01,Food,163.37,UPI,3,March,1,Monday
2021-03-01,Food,488.02,UPI,3,March,1,Monday
2021-03-01,Food,440.71,CARD,3,March,1,Monday
2021-03-01,Food,739.63,CARD,3,March,1,Monday
2021-03-01,Food,249.25,CARD,3,March,1,Monday
2021-03-01,Food,486.36,CARD,3,March,1,Monday
2021-03-01,Food,707.82,CASH,3,March,1,Monday
2021-03-01,Food,274.21,CARD,3,March,1,Monday
2021-03-01,Food,503.84,UPI,3,March,1,Monday
2021-04-01,Food,440.02,UPI,4,April,1,Thursday
2021-04-01,Food,384.22,CASH,4,April,1,Thursday
2021-04-01,Food,207.77,UPI,4,April,1,Thursday
2021-04-01,Food,946.28,CASH,4,April,1,Thursday
2021-04-01,Food,138.33,UPI,4,April,1,Thursday
2021-04-01,Food,309.4,UPI,4,April,1,Thursday
2021-04-01,Food,317.63,UPI,4,April,1,Thursday
2021-04-01,Food,349.14,UPI,4,April,1,Thursday
2021-04-01,Food,205.61,UPI,4,April,1,Thursday
2021-04-01,Food,1027.02,CASH,4,April,1,Thursday
2021-04-01,Food,521.87,UPI,4,April,1,Thursday
2021-04-01,Food,560.01,UPI,4,April,1,Thursday
2021-04-01,Food,517.84,UPI,4,April,1,Thursday
2021-04-01,Food,836.34,CASH,4,April,1,Thursday
2021-04-01,Food,366.95,CARD,4,April,1,Thursday
2021-04-01,Food,1024.76,UPI,4,April,1,Thursday
2021-04-01,Food,519.89,UPI,4,April,1,Thursday
2021-04-01,Food,689.15,UPI,4,April,1,Thursday
2021-04-01,Food,246.6,CARD,4,April,1,Thursday
2021-04-01,Food,654.84,UPI,4,April,1,Thursday
2021-04-01,Food,351.6,UPI,4,April,1,Thursday
2021-04-01,Food,524.1,UPI,4,April,1,Thursday
2021-04-01,Food,559.99,CASH,4,April,1,Thursday
2021-04-01,Food,164.38,CASH,4,April,1,Thursday
2021-04-01,Food,1274.99,UPI,4,April,1,Thursday
2021-04-01,Food,628.56,CARD,4,April,1,Thursday
2021-04-01,Food,395.4,UPI,4,April,1,Thursday
2021-04-01,Food,372.51,CASH,4,April,1,Thursday
2021-04-01,Food,632.56,CASH,4,April,1,Thursday
2021-04-01,Food,150.71,UPI,4,April,1,Thursday
2021-04-01,Food,201.85,CARD,4,April,1,Thursday
2021-04-01,Food,584.57,CASH,4,April,1,Thursday
2021-04-01,Food,244.36,CASH,4,April,1,Thursday
2021-04-01,Food,679.74,CASH,4,April,1,Thursday
2021-04-01,Food,673.84,CARD,4,April,1,Thursday
2021-04-01,Food,696.3,UPI,4,April,1,Thursday
2021-04-01,Food,1196.96,CARD,4,April,1,Thursday
2021-04-01,Food,854.71,CARD,4,April,1,Thursday
2021-04-01,Food,784.96,CASH,4,April,1,Thursday
2021-04-01,Food,533.48,CASH,4,April,1,Thursday
2021-04-01,Food,296.82,CARD,4,April,1,Thursday
2021-04-01,Food,801.16,CASH,4,April,1,Thursday
2021-04-01,Food,735.24,CASH,4,April,1,Thursday
2021-04-01,Food,374.79,CASH,4,April,1,Thursday
2021-04-01,Food,210.52,CARD,4,April,1,Thursday
2021-04-01,Food,290.19,CASH,4,April,1,Thursday
2021-04-01,Food,436.19,UPI,4,April,1,Thursday
2021-04-01,Food,575.87,UPI,4,April,1,Thursday
2021-04-01,Food,313.09,CASH,4,April,1,Thursday
2021-04-01,Food,210.7,CASH,4,April,1,Thursday
2021-04-01,Food,653.1,UPI,4,April,1,Thursday
2021-04-01,Food,368.13,CARD,4,April,1,Thursday
2021-04-01,Food,764.24,CARD,4,April,1,Thursday
2021-04-01,Food,287.83,CARD,4,April,1,Thursday
2021-04-01,Food,747.2,CARD,4,April,1,Thursday
2021-04-01,Food,727.01,CASH,4,April,1,Thursday
2021-04-01,Food,909.65,CASH,4,April,1,Thursday
2021-04-01,Food,450.58,CARD,4,April,1,Thursday
2021-04-01,Food,610.25,CASH,4,April,1,Thursday
2021-04-01,Food,441.57,UPI,4,April,1,Thursday
2021-04-01,Food,146.42,UPI,4,April,1,Thursday
2021-04-01,Food,227.65,UPI,4,April,1,Thursday
2021-04-01,Food,1099.51,CASH,4,April,1,Thursday
2021-04-01,Food,221.43,CASH,4,April,1,Thursday
2021-04-01,Food,1210.33,CASH,4,April,1,Thursday
2021-04-01,Food,158.71,UPI,4,April,1,Thursday
2021-04-01,Food,976.1,CASH,4,April,1,Thursday
2021-04-01,Food,466.01,CASH,4,April,1,Thursday
2021-04-01,Food,540.39,CARD,4,April,1,Thursday
2021-04-01,Food,747.19,CARD,4,April,1,Thursday
2021-05-01,Food,125.36,CASH,5,May,1,Saturday
2021-05-01,Food,442.07,CARD,5,May,1,Saturday
2021-05-01,Food,535.96,CASH,5,May,1,Saturday
2021-05-01,Food,585.64,UPI,5,May,1,Saturday
2021-05-01,Food,192.41,CARD,5,May,1,Saturday
2021-05-01,Food,180.68,CASH,5,May,1,Saturday
2021-05-01,Food,541.64,CASH,5,May,1,Saturday
2021-05-01,Food,437.79,UPI,5,May,1,Saturday
2021-05-01,Food,296.17,UPI,5,May,1,Saturday
2021-05-01,Food,190.35,CARD,5,May,1,Saturday
2021-05-01,Food,829.19,UPI,5,May,1,Saturday
2021-05-01,Food,236.34,CASH,5,May,1,Saturday
2021-05-01,Food,489.72,CASH,5,May,1,Saturday
2021-05-01,Food,395.05,UPI,5,May,1,Saturday
2021-05-01,Food,572.31,CASH,5,May,1,Saturday
2021-05-01,Food,550.01,CARD,5,May,1,Saturday
2021-05-01,Food,472.84,CARD,5,May,1,Saturday
2021-05-01,Food,344.76,CASH,5,May,1,Saturday
2021-05-01,Food,815.4,CASH,5,May,1,Saturday
2021-05-01,Food,619.57,CASH,5,May,1,Saturday
2021-05-01,Food,175.59,CARD,5,May,1,Saturday
2021-05-01,Food,706.59,CARD,5,May,1,Saturday
2021-05-01,Food,450.51,UPI,5,May,1,Saturday
2021-05-01,Food,769.71,CARD,5,May,1,Saturday
2021-05-01,Food,200.02,CASH,5,May,1,Saturday
2021-05-01,Food,952.84,UPI,5,May,1,Saturday
2021-05-01,Food,1009.19,CARD,5,May,1,Saturday
2021-05-01,Food,462.14,CASH,5,May,1,Saturday
2021-05-01,Food,630.04,CASH,5,May,1,Saturday
2021-05-01,Food,554.12,CASH,5,May,1,Saturday
2021-05-01,Food,617.0,UPI,5,May,1,Saturday
2021-05-01,Food,357.8,CARD,5,May,1,Saturday
2021-05-01,Food,1091.86,CASH,5,May,1,Saturday
2021-05-01,Food,401.23,CASH,5,May,1,Saturday
2021-05-01,Food,851.33,CASH,5,May,1,Saturday
2021-05-01,Food,722.21,UPI,5,May,1,Saturday
2021-05-01,Food,234.75,CASH,5,May,1,Saturday
2021-05-01,Food,1102.12,CASH,5,May,1,Saturday
2021-05-01,Food,887.56,CARD,5,May,1,Saturday
2021-05-01,Food,370.36,CARD,5,May,1,Saturday
2021-05-01,Food,337.9,CARD,5,May,1,Saturday
2021-05-01,Food,372.57,CARD,5,May,1,Saturday
2021-05-01,Food,335.46,CARD,5,May,1,Saturday
2021-05-01,Food,682.93,CASH,5,May,1,Saturday
2021-05-01,Food,586.82,CASH,5,May,1,Saturday
2021-05-01,Food,603.77,CASH,5,May,1,Saturday
2021-05-01,Food,231.61,CASH,5,May,1,Saturday
2021-05-01,Food,1125.24,CARD,5,May,1,Saturday
2021-05-01,Food,184.89,UPI,5,May,1,Saturday
2021-05-01,Food,373.81,UPI,5,May,1,Saturday
2021-05-01,Food,603.45,CARD,5,May,1,Saturday
2021-05-01,Food,910.49,CASH,5,May,1,Saturday
2021-05-01,Food,564.76,CASH,5,May,1,Saturday
2021-05-01,Food,323.71,CASH,5,May,1,Saturday
2021-05-01,Food,319.85,UPI,5,May,1,Saturday
2021-05-01,Food,453.62,CARD,5,May,1,Saturday
2021-05-01,Food,565.33,CASH,5,May,1,Saturday
2021-05-01,Food,494.45,CASH,5,May,1,Saturday
2021-05-01,Food,557.76,CARD,5,May,1,Saturday
2021-05-01,Food,849.16,CASH,5,May,1,Saturday
2021-05-01,Food,510.58,CASH,5,May,1,Saturday
2021-05-01,Food,529.23,CASH,5,May,1,Saturday
2021-05-01,Food,452.65,CASH,5,May,1,Saturday
2021-05-01,Food,438.15,UPI,5,May,1,Saturday
2021-05-01,Food,659.58,CARD,5,May,1,Saturday
2021-05-01,Food,376.92,CARD,5,May,1,Saturday
2021-05-01,Food,774.62,CASH,5,May,1,Saturday
2021-05-01,Food,1203.36,CARD,5,May,1,Saturday
2021-05-01,Food,825.28,CASH,5,May,1,Saturday
2021-05-01,Food,263.92,UPI,5,May,1,Saturday
2021-05-01,Food,692.49,CASH,5,May,1,Saturday
2021-05-01,Food,641.15,CASH,5,May,1,Saturday
2021-05-01,Food,657.24,CASH,5,May,1,Saturday
2021-05-01,Food,274.67,UPI,5,May,1,Saturday
2021-05-01,Food,510.55,CARD,5,May,1,Saturday
2021-05-01,Food,222.31,UPI,5,May,1,Saturday
2021-05-01,Food,964.97,CASH,5,May,1,Saturday
2021-05-01,Food,561.06,CASH,5,May,1,Saturday
2021-05-01,Food,541.97,CARD,5,May,1,Saturday
2021-05-01,Food,656.54,CARD,5,May,1,Saturday
2021-06-01,Food,152.7,CARD,6,June,1,Tuesday
2021-06-01,Food,312.52,UPI,6,June,1,Tuesday
2021-06-01,Food,440.81,UPI,6,June,1,Tuesday
2021-06-01,Food,575.91,CARD,6,June,1,Tuesday
2021-06-01,Food,276.3,CARD,6,June,1,Tuesday
2021-06-01,Food,545.64,CARD,6,June,1,Tuesday
2021-06-01,Food,468.27,CASH,6,June,1,Tuesday
2021-06-01,Food,619.97,CASH,6,June,1,Tuesday
2021-06-01,Food,394.65,UPI,6,June,1,Tuesday
2021-06-01,Food,448.46,CARD,6,June,1,Tuesday
2021-06-01,Food,688.75,UPI,6,June,1,Tuesday
2021-06-01,Food,146.96,CASH,6,June,1,Tuesday
2021-06-01,Food,249.33,CARD,6,June,1,Tuesday
2021-06-01,Food,563.93,CASH,6,June,1,Tuesday
2021-06-01,Food,952.99,CASH,6,June,1,Tuesday
2021-06-01,Food,294.16,CARD,6,June,1,Tuesday
2021-06-01,Food,233.99,CASH,6,June,1,Tuesday
2021-06-01,Food,590.06,CASH,6,June,1,Tuesday
2021-06-01,Food,279.29,CARD,6,June,1,Tuesday
2021-06-01,Food,169.83,UPI,6,June,1,Tuesday
2021-06-01,Food,609.64,CARD,6,June,1,Tuesday
2021-06-01,Food,176.52,CARD,6,June,1,Tuesday
2021-06-01,Food,170.08,CASH,6,June,1,Tuesday
2021-06-01,Food,282.14,UPI,6,June,1,Tuesday
2021-06-01,Food,406.08,UPI,6,June,1,Tuesday
2021-06-01,Food,961.93,CASH,6,June,1,Tuesday
2021-06-01,Food,216.84,CARD,6,June,1,Tuesday
2021-06-01,Food,179.47,CASH,6,June,1,Tuesday
2021-06-01,Food,244.64,CARD,6,June,1,Tuesday
2021-06-01,Food,146.37,CARD,6,June,1,Tuesday
2021-06-01,Food,274.17,CASH,6,June,1,Tuesday
2021-06-01,Food,812.66,UPI,6,June,1,Tuesday
2021-06-01,Food,451.13,UPI,6,June,1,Tuesday
2021-06-01,Food,482.6,CASH,6,June,1,Tuesday
2021-06-01,Food,553.23,UPI,6,June,1,Tuesday
2021-06-01,Food,421.09,CASH,6,June,1,Tuesday
2021-06-01,Food,254.86,UPI,6,June,1,Tuesday
2021-06-01,Food,967.58,CASH,6,June,1,Tuesday
2021-06-01,Food,603.16,UPI,6,June,1,Tuesday
2021-06-01,Food,381.87,CARD,6,June,1,Tuesday
2021-06-01,Food,192.78,CASH,6,June,1,Tuesday
2021-06-01,Food,875.66,CASH,6,June,1,Tuesday
2021-06-01,Food,559.05,CARD,6,June,1,Tuesday
2021-06-01,Food,718.09,CARD,6,June,1,Tuesday
2021-06-01,Food,574.22,CARD,6,June,1,Tuesday
2021-06-01,Food,747.74,CARD,6,June,1,Tuesday
2021-06-01,Food,1104.68,UPI,6,June,1,Tuesday
2021-06-01,Food,836.28,CASH,6,June,1,Tuesday
2021-06-01,Food,513.94,CARD,6,June,1,Tuesday
2021-06-01,Food,585.83,UPI,6,June,1,Tuesday
2021-06-01,Food,667.88,CASH,6,June,1,Tuesday
2021-06-01,Food,304.6,UPI,6,June,1,Tuesday
2021-06-01,Food,610.15,CARD,6,June,1,Tuesday
2021-06-01,Food,209.87,UPI,6,June,1,Tuesday
2021-06-01,Food,663.43,UPI,6,June,1,Tuesday
2021-06-01,Food,267.66,UPI,6,June,1,Tuesday
2021-06-01,Food,405.68,CASH,6,June,1,Tuesday
2021-06-01,Food,365.54,UPI,6,June,1,Tuesday
2021-06-01,Food,796.62,UPI,6,June,1,Tuesday
2021-06-01,Food,238.57,UPI,6,June,1,Tuesday
2021-06-01,Food,781.4,CASH,6,June,1,Tuesday
2021-06-01,Food,208.0,UPI,6,June,1,Tuesday
2021-06-01,Food,982.26,UPI,6,June,1,Tuesday
2021-06-01,Food,665.9,CARD,6,June,1,Tuesday
2021-06-01,Food,596.09,CARD,6,June,1,Tuesday
2021-06-01,Food,431.14,CASH,6,June,1,Tuesday
2021-06-01,Food,168.03,CARD,6,June,1,Tuesday
2021-06-01,Food,351.41,CASH,6,June,1,Tuesday
2021-06-01,Food,383.57,CARD,6,June,1,Tuesday
2021-06-01,Food,1041.47,UPI,6,June,1,Tuesday
2021-06-01,Food,270.08,UPI,6,June,1,Tuesday
2021-06-01,Food,1062.53,CASH,6,June,1,Tuesday
2021-06-01,Food,223.11,CARD,6,June,1,Tuesday
2021-06-01,Food,534.98,CASH,6,June,1,Tuesday
2021-06-01,Food,506.8,CASH,6,June,1,Tuesday
2021-06-01,Food,1109.16,UPI,6,June,1,Tuesday
2021-06-01,Food,172.47,CARD,6,June,1,Tuesday
2021-06-01,Food,909.09,CASH,6,June,1,Tuesday
2021-06-01,Food,524.12,CARD,6,June,1,Tuesday
2021-06-01,Food,264.94,UPI,6,June,1,Tuesday
2021-06-01,Food,595.19,UPI,6,June,1,Tuesday
2021-06-01,Food,226.87,UPI,6,June,1,Tuesday
2021-06-01,Food,614.66,CASH,6,June,1,Tuesday
2021-06-01,Food,326.91,UPI,6,June,1,Tuesday
2021-07-01,Food,235.87,CARD,7,July,1,Thursday
2021-07-01,Food,590.98,CARD,7,July,1,Thursday
2021-07-01,Food,421.03,UPI,7,July,1,Thursday
2021-07-01,Food,407.7,CARD,7,July,1,Thursday
2021-07-01,Food,416.3,UPI,7,July,1,Thursday
2021-07-01,Food,671.87,CASH,7,July,1,Thursday
2021-07-01,Food,715.06,CASH,7,July,1,Thursday
2021-07-01,Food,182.26,UPI,7,July,1,Thursday
2021-07-01,Food,180.42,CARD,7,July,1,Thursday
2021-07-01,Food,487.45,CASH,7,July,1,Thursday
2021-07-01,Food,429.23,CASH,7,July,1,Thursday
2021-07-01,Food,693.68,CASH,7,July,1,Thursday
2021-07-01,Food,246.85,UPI,7,July,1,Thursday
2021-07-01,Food,1081.8,UPI,7,July,1,Thursday
