UserID,Year,Month,Income,Income_Bracket,Festivals,Festival_Count,Food,Groceries,Transport,Entertainment,Shopping,Rent,Bills,Healthcare,Education,Total_Expenses,Savings,Food_Ratio,Groceries_Ratio,Transport_Ratio,Entertainment_Ratio,Shopping_Ratio,Rent_Ratio,Bills_Ratio,Healthcare_Ratio,Education_Ratio
USER_074,2021,1,11659.17,5,New Year's Day,1,929.71,1529.08,1452.82,1129.19,769.83,3640.1,1187.85,606.15,590.06,11834.79,-175.62,0.0797,0.1311,0.1246,0.0968,0.066,0.3122,0.1019,0.052,0.0506
USER_078,2021,1,3302.17,1,New Year's Day,1,225.14,345.48,301.17,318.69,214.59,631.36,429.38,154.92,194.71,2815.44,486.73,0.0682,0.1046,0.0912,0.0965,0.065,0.1912,0.13,0.0469,0.059
USER_081,2021,1,5839.75,3,New Year's Day,1,441.91,720.32,467.78,459.81,349.51,1187.06,588.34,300.03,347.18,4861.94,977.81,0.0757,0.1233,0.0801,0.0787,0.0599,0.2033,0.1007,0.0514,0.0595
USER_085,2021,1,6855.67,4,New Year's Day,1,404.92,1030.89,716.71,613.86,361.87,1689.83,918.76,367.36,443.99,6548.19,307.48,0.0591,0.1504,0.1045,0.0895,0.0528,0.2465,0.134,0.0536,0.0648
USER_094,2021,1,8080.0,4,New Year's Day,1,728.72,1125.26,861.83,547.45,610.56,2007.1,1074.16,468.25,515.18,7938.51,141.49,0.0902,0.1393,0.1067,0.0678,0.0756,0.2484,0.1329,0.058,0.0638
USER_101,2021,1,1860.5,1,New Year's Day,1,130.92,183.89,170.29,137.11,114.41,543.45,222.22,100.59,128.01,1730.89,129.61,0.0704,0.0988,0.0915,0.0737,0.0615,0.2921,0.1194,0.0541,0.0688
USER_107,2021,1,4805.83,2,New Year's Day,1,431.89,626.71,396.57,388.87,311.78,1090.84,537.69,264.14,278.83,4327.32,478.51,0.0899,0.1304,0.0825,0.0809,0.0649,0.227,0.1119,0.055,0.058
USER_108,2021,1,4892.67,2,New Year's Day,1,373.62,674.59,543.58,394.14,347.0,1291.75,662.83,220.43,348.34,4856.28,36.39,0.0764,0.1379,0.1111,0.0806,0.0709,0.264,0.1355,0.0451,0.0712
USER_123,2021,1,7348.83,4,New Year's Day,1,615.54,1042.92,769.3,607.73,421.58,1694.3,1037.9,314.32,440.21,6943.8,405.03,0.0838,0.1419,0.1047,0.0827,0.0574,0.2306,0.1412,0.0428,0.0599
USER_144,2021,1,8039.83,4,New Year's Day,1,730.35,907.47,979.5,649.77,545.21,1704.84,1073.84,382.28,356.12,7329.38,710.45,0.0908,0.1129,0.1218,0.0808,0.0678,0.212,0.1336,0.0475,0.0443
USER_149,2021,1,2308.92,1,New Year's Day,1,216.07,286.94,225.14,194.05,170.64,424.03,266.77,123.05,129.18,2035.87,273.05,0.0936,0.1243,0.0975,0.084,0.0739,0.1836,0.1155,0.0533,0.0559
USER_152,2021,1,11580.25,5,New Year's Day,1,1026.45,1268.4,1086.51,928.21,675.42,2870.9,1387.41,528.89,577.66,10349.85,1230.4,0.0886,0.1095,0.0938,0.0802,0.0583,0.2479,0.1198,0.0457,0.0499
USER_161,2021,1,5198.17,3,New Year's Day,1,408.21,691.39,549.67,360.35,377.42,1434.42,690.25,266.75,343.42,5121.88,76.29,0.0785,0.133,0.1057,0.0693,0.0726,0.2759,0.1328,0.0513,0.0661
USER_163,2021,1,11408.08,5,New Year's Day,1,810.02,1512.14,1103.19,990.17,783.81,3159.43,1132.63,691.35,774.57,10957.31,450.77,0.071,0.1325,0.0967,0.0868,0.0687,0.2769,0.0993,0.0606,0.0679
USER_171,2021,1,12175.67,5,New Year's Day,1,1109.65,1242.66,1245.79,1049.01,877.05,2670.74,1511.89,607.06,788.21,11102.06,1073.61,0.0911,0.1021,0.1023,0.0862,0.072,0.2194,0.1242,0.0499,0.0647
USER_177,2021,1,9182.33,5,New Year's Day,1,741.21,961.89,848.77,808.71,739.91,2292.66,1141.14,453.56,457.43,8445.28,737.05,0.0807,0.1048,0.0924,0.0881,0.0806,0.2497,0.1243,0.0494,0.0498
USER_189,2021,1,8198.33,4,New Year's Day,1,694.58,882.87,940.27,619.46,471.18,2536.98,1158.35,457.9,456.24,8217.83,-19.5,0.0847,0.1077,0.1147,0.0756,0.0575,0.3095,0.1413,0.0559,0.0557
USER_191,2021,1,2073.67,1,New Year's Day,1,135.91,250.11,216.39,139.81,179.19,551.94,257.07,126.78,126.32,1983.52,90.15,0.0655,0.1206,0.1044,0.0674,0.0864,0.2662,0.124,0.0611,0.0609
USER_200,2021,1,6528.92,3,New Year's Day,1,419.65,758.37,666.71,679.0,416.51,1540.57,726.51,305.13,429.05,5941.5,587.42,0.0643,0.1162,0.1021,0.104,0.0638,0.236,0.1113,0.0467,0.0657
USER_207,2021,1,3628.58,2,New Year's Day,1,311.42,486.41,360.5,312.31,250.25,955.86,448.7,137.2,211.79,3474.44,154.14,0.0858,0.134,0.0994,0.0861,0.069,0.2634,0.1237,0.0378,0.0584
USER_215,2021,1,5189.58,3,New Year's Day,1,410.01,585.82,429.0,390.09,355.75,1385.77,588.77,252.67,312.08,4709.96,479.62,0.079,0.1129,0.0827,0.0752,0.0686,0.267,0.1135,0.0487,0.0601
USER_218,2021,1,10141.92,5,New Year's Day,1,889.02,1046.63,831.01,1012.51,696.63,2847.69,1467.06,545.58,592.53,9928.66,213.26,0.0877,0.1032,0.0819,0.0998,0.0687,0.2808,0.1447,0.0538,0.0584
USER_221,2021,1,9783.17,5,New Year's Day,1,827.3,1454.3,907.93,833.32,687.04,2533.01,1178.28,371.14,544.91,9337.23,445.94,0.0846,0.1487,0.0928,0.0852,0.0702,0.2589,0.1204,0.0379,0.0557
USER_244,2021,1,8335.58,5,New Year's Day,1,836.21,1128.01,922.54,623.59,643.83,1855.01,885.71,317.9,430.6,7643.4,692.18,0.1003,0.1353,0.1107,0.0748,0.0772,0.2225,0.1063,0.0381,0.0517
USER_251,2021,1,7130.08,4,New Year's Day,1,486.01,915.77,616.76,675.66,488.5,1995.65,942.06,296.77,413.66,6830.84,299.24,0.0682,0.1284,0.0865,0.0948,0.0685,0.2799,0.1321,0.0416,0.058
USER_262,2021,1,9395.25,5,New Year's Day,1,784.16,1386.57,1009.83,753.09,601.42,2111.12,1000.73,572.75,493.07,8712.74,682.51,0.0835,0.1476,0.1075,0.0802,0.064,0.2247,0.1065,0.061,0.0525
USER_268,2021,1,10870.42,5,New Year's Day,1,869.73,1302.66,1204.1,955.6,859.69,2612.74,1246.48,580.3,676.29,10307.59,562.83,0.08,0.1198,0.1108,0.0879,0.0791,0.2404,0.1147,0.0534,0.0622
USER_283,2021,1,6878.25,4,New Year's Day,1,508.63,828.04,698.89,726.81,439.74,1355.04,772.41,314.98,466.94,6111.48,766.77,0.0739,0.1204,0.1016,0.1057,0.0639,0.197,0.1123,0.0458,0.0679
USER_290,2021,1,3508.75,2,New Year's Day,1,227.68,371.62,300.52,354.13,232.86,727.46,413.8,142.9,202.66,2973.63,535.12,0.0649,0.1059,0.0856,0.1009,0.0664,0.2073,0.1179,0.0407,0.0578
USER_294,2021,1,2231.42,1,New Year's Day,1,167.64,220.27,201.71,192.08,156.08,584.81,225.61,132.11,110.31,1990.62,240.8,0.0751,0.0987,0.0904,0.0861,0.0699,0.2621,0.1011,0.0592,0.0494
USER_296,2021,1,12131.83,5,New Year's Day,1,808.04,1480.23,1007.4,948.51,750.73,2541.96,1620.35,604.54,594.63,10356.39,1775.44,0.0666,0.122,0.083,0.0782,0.0619,0.2095,0.1336,0.0498,0.049
USER_303,2021,1,4666.58,2,New Year's Day,1,338.64,600.67,496.34,398.02,390.31,1215.06,654.63,289.61,275.79,4659.07,7.51,0.0726,0.1287,0.1064,0.0853,0.0836,0.2604,0.1403,0.0621,0.0591
USER_313,2021,1,7037.25,4,New Year's Day,1,535.53,864.97,754.61,529.86,596.2,1578.89,860.67,366.56,342.85,6430.14,607.11,0.0761,0.1229,0.1072,0.0753,0.0847,0.2244,0.1223,0.0521,0.0487
USER_314,2021,1,7162.92,4,New Year's Day,1,563.7,923.84,603.98,628.08,474.15,2110.32,812.9,369.13,367.46,6853.56,309.36,0.0787,0.129,0.0843,0.0877,0.0662,0.2946,0.1135,0.0515,0.0513
USER_318,2021,1,5921.67,3,New Year's Day,1,590.61,735.55,646.97,605.34,438.8,1330.48,709.86,313.41,340.56,5711.58,210.09,0.0997,0.1242,0.1093,0.1022,0.0741,0.2247,0.1199,0.0529,0.0575
USER_324,2021,1,3520.75,2,New Year's Day,1,255.52,528.13,307.92,247.13,265.16,948.63,487.65,179.44,234.36,3453.94,66.81,0.0726,0.15,0.0875,0.0702,0.0753,0.2694,0.1385,0.051,0.0666
USER_326,2021,1,3877.75,2,New Year's Day,1,339.43,555.96,355.11,311.08,288.19,929.37,418.19,194.78,214.11,3606.22,271.53,0.0875,0.1434,0.0916,0.0802,0.0743,0.2397,0.1078,0.0502,0.0552
USER_334,2021,1,2113.83,1,New Year's Day,1,201.66,228.24,192.26,201.21,160.6,507.85,309.52,98.31,132.42,2032.07,81.76,0.0954,0.108,0.091,0.0952,0.076,0.2403,0.1464,0.0465,0.0626
USER_340,2021,1,12105.08,5,New Year's Day,1,1200.89,1632.31,1248.11,945.2,672.02,2940.48,1585.61,599.73,588.99,11413.34,691.74,0.0992,0.1348,0.1031,0.0781,0.0555,0.2429,0.131,0.0495,0.0487
USER_341,2021,1,3611.67,2,New Year's Day,1,288.01,371.59,409.96,325.35,194.29,795.84,465.33,168.74,211.27,3230.38,381.29,0.0797,0.1029,0.1135,0.0901,0.0538,0.2204,0.1288,0.0467,0.0585
USER_349,2021,1,8005.25,4,New Year's Day,1,595.87,721.39,789.9,758.8,580.35,1838.69,912.3,460.05,359.72,7017.07,988.18,0.0744,0.0901,0.0987,0.0948,0.0725,0.2297,0.114,0.0575,0.0449
USER_353,2021,1,4758.08,2,New Year's Day,1,384.92,620.66,505.79,309.63,313.92,1226.93,559.76,223.54,311.13,4456.28,301.8,0.0809,0.1304,0.1063,0.0651,0.066,0.2579,0.1176,0.047,0.0654
USER_355,2021,1,7936.08,4,New Year's Day,1,697.91,1150.76,802.44,516.67,654.25,2034.54,959.66,387.31,528.49,7732.03,204.05,0.0879,0.145,0.1011,0.0651,0.0824,0.2564,0.1209,0.0488,0.0666
USER_357,2021,1,5880.17,3,New Year's Day,1,523.91,744.91,446.44,443.28,341.29,1273.06,707.81,231.33,301.17,5013.2,866.97,0.0891,0.1267,0.0759,0.0754,0.058,0.2165,0.1204,0.0393,0.0512
USER_362,2021,1,7585.33,4,New Year's Day,1,772.62,874.56,670.17,585.68,426.31,1830.69,718.65,349.35,443.44,6671.47,913.86,0.1019,0.1153,0.0884,0.0772,0.0562,0.2413,0.0947,0.0461,0.0585
USER_363,2021,1,3016.42,1,New Year's Day,1,275.09,402.44,271.78,305.87,229.59,762.63,306.81,195.61,172.36,2922.18,94.24,0.0912,0.1334,0.0901,0.1014,0.0761,0.2528,0.1017,0.0648,0.0571
USER_370,2021,1,3077.33,1,New Year's Day,1,257.6,400.09,360.7,276.59,202.12,918.78,355.81,153.71,204.81,3130.21,-52.88,0.0837,0.13,0.1172,0.0899,0.0657,0.2986,0.1156,0.0499,0.0666
USER_372,2021,1,4443.17,2,New Year's Day,1,345.51,579.54,482.56,404.92,357.7,1074.89,609.15,215.43,239.08,4308.78,134.39,0.0778,0.1304,0.1086,0.0911,0.0805,0.2419,0.1371,0.0485,0.0538
USER_378,2021,1,7331.08,4,New Year's Day,1,591.21,921.73,701.59,694.99,490.25,1366.84,928.67,337.61,362.64,6395.53,935.55,0.0806,0.1257,0.0957,0.0948,0.0669,0.1864,0.1267,0.0461,0.0495
USER_388,2021,1,5326.5,3,New Year's Day,1,467.33,606.92,446.96,391.23,411.6,1200.2,665.93,221.1,286.08,4697.35,629.15,0.0877,0.1139,0.0839,0.0734,0.0773,0.2253,0.125,0.0415,0.0537
USER_394,2021,1,5274.58,3,New Year's Day,1,454.4,583.89,511.94,460.44,386.48,1323.03,737.34,309.05,297.49,5064.06,210.52,0.0861,0.1107,0.0971,0.0873,0.0733,0.2508,0.1398,0.0586,0.0564
USER_395,2021,1,4142.33,2,New Year's Day,1,269.8,450.85,409.22,290.63,256.67,1148.12,603.03,191.42,227.85,3847.59,294.74,0.0651,0.1088,0.0988,0.0702,0.062,0.2772,0.1456,0.0462,0.055
USER_396,2021,1,4318.83,2,New Year's Day,1,257.54,637.74,432.39,383.01,337.75,815.07,548.58,197.97,222.82,3832.87,485.96,0.0596,0.1477,0.1001,0.0887,0.0782,0.1887,0.127,0.0458,0.0516
USER_400,2021,1,1815.5,1,New Year's Day,1,171.65,219.57,154.76,170.54,112.3,479.3,258.74,90.68,116.77,1774.31,41.19,0.0945,0.1209,0.0852,0.0939,0.0619,0.264,0.1425,0.0499,0.0643
USER_409,2021,1,1845.08,1,New Year's Day,1,118.82,199.08,180.76,160.57,123.73,570.6,202.74,111.41,142.24,1809.95,35.13,0.0644,0.1079,0.098,0.087,0.0671,0.3093,0.1099,0.0604,0.0771
USER_410,2021,1,8009.5,4,New Year's Day,1,600.98,1144.29,855.6,661.55,528.57,2269.77,807.22,396.8,496.41,7761.19,248.31,0.075,0.1429,0.1068,0.0826,0.066,0.2834,0.1008,0.0495,0.062
USER_412,2021,1,2080.92,1,New Year's Day,1,190.38,253.62,179.15,167.2,131.5,503.06,237.14,106.49,121.32,1889.86,191.06,0.0915,0.1219,0.0861,0.0803,0.0632,0.2417,0.114,0.0512,0.0583
USER_413,2021,1,4870.33,2,New Year's Day,1,430.36,532.12,428.1,455.24,334.8,1202.61,654.61,245.67,299.63,4583.14,287.19,0.0884,0.1093,0.0879,0.0935,0.0687,0.2469,0.1344,0.0504,0.0615
USER_421,2021,1,6607.08,3,New Year's Day,1,426.22,766.52,757.58,653.06,355.44,1647.18,641.87,353.07,462.05,6062.99,544.09,0.0645,0.116,0.1147,0.0988,0.0538,0.2493,0.0971,0.0534,0.0699
USER_422,2021,1,7500.58,4,New Year's Day,1,517.46,744.8,764.65,616.15,517.89,1967.82,794.41,379.46,513.64,6816.28,684.3,0.069,0.0993,0.1019,0.0821,0.069,0.2624,0.1059,0.0506,0.0685
USER_423,2021,1,11725.0,5,New Year's Day,1,790.36,1494.77,1352.99,1157.5,747.48,3088.27,1176.84,741.36,647.69,11197.26,527.74,0.0674,0.1275,0.1154,0.0987,0.0638,0.2634,0.1004,0.0632,0.0552
USER_430,2021,1,3340.67,2,New Year's Day,1,267.17,452.82,416.14,206.79,189.38,728.16,412.28,164.28,198.53,3035.55,305.12,0.08,0.1355,0.1246,0.0619,0.0567,0.218,0.1234,0.0492,0.0594
USER_443,2021,1,4173.33,2,New Year's Day,1,389.84,378.12,402.61,351.87,331.0,921.29,504.78,247.61,291.05,3818.17,355.16,0.0934,0.0906,0.0965,0.0843,0.0793,0.2208,0.121,0.0593,0.0697
USER_445,2021,1,9909.58,5,New Year's Day,1,775.04,1194.17,1061.95,716.37,645.12,2364.93,1204.87,446.27,507.53,8916.25,993.33,0.0782,0.1205,0.1072,0.0723,0.0651,0.2387,0.1216,0.045,0.0512
USER_449,2021,1,11282.42,5,New Year's Day,1,805.79,1200.2,1417.4,1047.88,839.67,2575.68,1405.79,456.94,731.96,10481.31,801.11,0.0714,0.1064,0.1256,0.0929,0.0744,0.2283,0.1246,0.0405,0.0649
USER_454,2021,1,5070.67,3,New Year's Day,1,395.87,572.46,382.89,419.68,364.4,1312.42,633.72,309.47,246.25,4637.16,433.51,0.0781,0.1129,0.0755,0.0828,0.0719,0.2588,0.125,0.061,0.0486
USER_461,2021,1,7426.25,4,New Year's Day,1,707.8,754.45,663.79,565.08,510.55,2341.79,934.27,385.82,341.54,7205.09,221.16,0.0953,0.1016,0.0894,0.0761,0.0687,0.3153,0.1258,0.052,0.046
USER_462,2021,1,4931.75,2,New Year's Day,1,331.88,629.94,420.16,406.69,384.92,1091.07,461.93,278.84,237.99,4243.42,688.33,0.0673,0.1277,0.0852,0.0825,0.078,0.2212,0.0937,0.0565,0.0483
USER_470,2021,1,8168.83,4,New Year's Day,1,747.98,960.24,894.73,545.08,532.55,2082.05,1062.68,389.07,511.81,7726.19,442.64,0.0916,0.1175,0.1095,0.0667,0.0652,0.2549,0.1301,0.0476,0.0627
USER_473,2021,1,5882.83,3,New Year's Day,1,584.24,640.61,572.77,531.36,389.7,1085.79,810.32,270.76,386.01,5271.56,611.27,0.0993,0.1089,0.0974,0.0903,0.0662,0.1846,0.1377,0.046,0.0656
USER_474,2021,1,2770.33,1,New Year's Day,1,195.03,367.34,233.13,190.71,159.87,724.46,330.58,124.93,154.7,2480.75,289.58,0.0704,0.1326,0.0842,0.0688,0.0577,0.2615,0.1193,0.0451,0.0558
USER_476,2021,1,10856.42,5,New Year's Day,1,1007.32,1453.76,1332.48,986.18,760.1,3163.64,1164.9,475.2,796.53,11140.11,-283.69,0.0928,0.1339,0.1227,0.0908,0.07,0.2914,0.1073,0.0438,0.0734
USER_477,2021,1,6814.75,4,New Year's Day,1,581.04,1074.21,590.44,551.81,499.96,1927.38,986.5,342.72,435.2,6989.26,-174.51,0.0853,0.1576,0.0866,0.081,0.0734,0.2828,0.1448,0.0503,0.0639
USER_482,2021,1,9048.92,5,New Year's Day,1,864.37,1043.86,1164.08,728.81,571.02,1906.67,987.77,496.55,482.76,8245.89,803.03,0.0955,0.1154,0.1286,0.0805,0.0631,0.2107,0.1092,0.0549,0.0534
USER_486,2021,1,3765.83,2,New Year's Day,1,370.84,551.64,434.68,364.47,209.72,749.44,564.12,229.64,214.93,3689.48,76.35,0.0985,0.1465,0.1154,0.0968,0.0557,0.199,0.1498,0.061,0.0571
USER_495,2021,1,7956.17,4,New Year's Day,1,818.13,1003.63,855.41,754.27,615.27,2219.47,857.62,390.47,445.85,7960.12,-3.95,0.1028,0.1261,0.1075,0.0948,0.0773,0.279,0.1078,0.0491,0.056
USER_496,2021,1,4580.67,2,New Year's Day,1,416.76,512.69,376.55,320.1,247.24,1369.14,633.36,219.93,230.08,4325.85,254.82,0.091,0.1119,0.0822,0.0699,0.054,0.2989,0.1383,0.048,0.0502
USER_001,2021,2,1734.92,1,Valentine's Day; Chinese New Year,2,122.79,224.87,146.85,164.1,144.11,460.27,187.36,95.26,112.07,1657.68,77.24,0.0708,0.1296,0.0846,0.0946,0.0831,0.2653,0.108,0.0549,0.0646
USER_002,2021,2,5668.75,3,Valentine's Day; Chinese New Year,2,412.93,774.73,491.2,395.88,485.77,1186.84,633.41,307.86,270.88,4959.5,709.25,0.0728,0.1367,0.0867,0.0698,0.0857,0.2094,0.1117,0.0543,0.0478
USER_005,2021,2,3279.08,1,Valentine's Day; Chinese New Year,2,237.25,404.39,276.7,264.69,239.78,736.97,334.18,142.03,192.53,2828.52,450.56,0.0724,0.1233,0.0844,0.0807,0.0731,0.2247,0.1019,0.0433,0.0587
USER_019,2021,2,2704.08,1,Valentine's Day; Chinese New Year,2,234.97,399.09,296.58,206.77,201.08,853.28,271.74,159.52,199.47,2822.5,-118.42,0.0869,0.1476,0.1097,0.0765,0.0744,0.3156,0.1005,0.059,0.0738
USER_024,2021,2,2700.25,1,Valentine's Day; Chinese New Year,2,199.95,292.55,328.15,244.04,200.36,590.27,388.96,159.94,130.33,2534.55,165.7,0.074,0.1083,0.1215,0.0904,0.0742,0.2186,0.144,0.0592,0.0483
USER_031,2021,2,2704.58,1,Valentine's Day; Chinese New Year,2,189.58,317.43,302.07,217.78,266.04,581.07,285.85,140.06,146.24,2446.12,258.46,0.0701,0.1174,0.1117,0.0805,0.0984,0.2148,0.1057,0.0518,0.0541
USER_032,2021,2,6238.17,3,Valentine's Day; Chinese New Year,2,519.48,668.23,618.94,503.83,561.16,1903.44,701.78,288.74,342.21,6107.81,130.36,0.0833,0.1071,0.0992,0.0808,0.09,0.3051,0.1125,0.0463,0.0549
USER_034,2021,2,5970.17,3,Valentine's Day; Chinese New Year,2,577.69,639.02,725.37,495.79,479.27,1148.94,692.66,279.28,359.52,5397.54,572.63,0.0968,0.107,0.1215,0.083,0.0803,0.1924,0.116,0.0468,0.0602
USER_049,2021,2,7056.83,4,Valentine's Day; Chinese New Year,2,563.58,1015.28,662.05,578.46,555.01,1836.52,780.62,315.72,482.83,6790.07,266.76,0.0799,0.1439,0.0938,0.082,0.0786,0.2602,0.1106,0.0447,0.0684
USER_051,2021,2,4866.25,2,Valentine's Day; Chinese New Year,2,443.05,570.91,487.38,321.17,466.47,1325.95,682.95,208.07,348.8,4854.75,11.5,0.091,0.1173,0.1002,0.066,0.0959,0.2725,0.1403,0.0428,0.0717
USER_063,2021,2,8111.58,4,Valentine's Day; Chinese New Year,2,626.22,1002.65,869.26,836.47,678.39,2477.71,780.89,328.56,575.47,8175.62,-64.04,0.0772,0.1236,0.1072,0.1031,0.0836,0.3055,0.0963,0.0405,0.0709
USER_067,2021,2,5928.92,3,Valentine's Day; Chinese New Year,2,500.56,766.69,514.02,576.41,539.09,1595.95,822.37,331.98,297.87,5944.94,-16.02,0.0844,0.1293,0.0867,0.0972,0.0909,0.2692,0.1387,0.056,0.0502
USER_069,2021,2,7098.58,4,Valentine's Day; Chinese New Year,2,554.86,981.97,686.09,674.94,545.05,1684.87,815.13,324.17,446.5,6713.58,385.0,0.0782,0.1383,0.0967,0.0951,0.0768,0.2374,0.1148,0.0457,0.0629
USER_070,2021,2,6675.58,4,Valentine's Day; Chinese New Year,2,551.69,928.0,511.41,490.57,515.9,1514.03,799.38,348.42,333.14,5992.54,683.04,0.0826,0.139,0.0766,0.0735,0.0773,0.2268,0.1197,0.0522,0.0499
USER_090,2021,2,10644.25,5,Valentine's Day; Chinese New Year,2,823.69,1245.55,932.77,829.3,747.65,2920.49,1071.1,502.17,647.4,9720.12,924.13,0.0774,0.117,0.0876,0.0779,0.0702,0.2744,0.1006,0.0472,0.0608
USER_099,2021,2,9590.08,5,Valentine's Day; Chinese New Year,2,674.22,899.59,759.27,689.29,709.91,2486.5,938.1,460.12,483.07,8100.07,1490.01,0.0703,0.0938,0.0792,0.0719,0.074,0.2593,0.0978,0.048,0.0504
USER_104,2021,2,5193.5,3,Valentine's Day; Chinese New Year,2,436.09,498.25,508.8,406.08,318.11,1014.82,672.24,261.41,312.57,4428.37,765.13,0.084,0.0959,0.098,0.0782,0.0613,0.1954,0.1294,0.0503,0.0602
USER_112,2021,2,1931.33,1,Valentine's Day; Chinese New Year,2,132.23,262.09,197.23,191.0,155.49,474.76,254.2,95.02,134.52,1896.54,34.79,0.0685,0.1357,0.1021,0.0989,0.0805,0.2458,0.1316,0.0492,0.0697
USER_116,2021,2,1832.17,1,Valentine's Day; Chinese New Year,2,182.18,203.13,152.1,122.45,137.7,516.89,229.55,112.83,103.3,1760.13,72.04,0.0994,0.1109,0.083,0.0668,0.0752,0.2821,0.1253,0.0616,0.0564
USER_118,2021,2,2345.58,1,Valentine's Day; Chinese New Year,2,163.57,294.38,269.48,218.96,180.18,715.24,295.59,110.83,152.16,2400.39,-54.81,0.0697,0.1255,0.1149,0.0934,0.0768,0.3049,0.126,0.0473,0.0649
USER_128,2021,2,3787.5,2,Valentine's Day; Chinese New Year,2,296.03,443.57,278.23,346.37,272.79,864.51,521.71,146.99,225.79,3395.99,391.51,0.0782,0.1171,0.0735,0.0915,0.072,0.2283,0.1377,0.0388,0.0596
USER_133,2021,2,2732.75,1,Valentine's Day; Chinese New Year,2,188.12,405.68,251.64,230.27,171.25,775.35,282.5,129.85,155.59,2590.25,142.5,0.0688,0.1485,0.0921,0.0843,0.0627,0.2837,0.1034,0.0475,0.0569
USER_136,2021,2,11948.08,5,Valentine's Day; Chinese New Year,2,1194.48,1565.51,1208.27,1122.98,937.17,2660.75,1622.53,649.88,634.13,11595.7,352.38,0.1,0.131,0.1011,0.094,0.0784,0.2227,0.1358,0.0544,0.0531
USER_138,2021,2,4143.58,2,Valentine's Day; Chinese New Year,2,371.21,486.56,534.91,374.82,419.18,941.83,499.07,218.61,288.03,4134.22,9.36,0.0896,0.1174,0.1291,0.0905,0.1012,0.2273,0.1204,0.0528,0.0695
USER_153,2021,2,1890.5,1,Valentine's Day; Chinese New Year,2,152.17,238.03,221.98,158.53,166.4,355.72,227.77,96.93,98.57,1716.1,174.4,0.0805,0.1259,0.1174,0.0839,0.088,0.1882,0.1205,0.0513,0.0521
